state,GDP,GDPpercapita
District of Columbia,137972,191445
New York,1587879,81465
Massachusetts,546546,78339
Washington,579695,74347
Connecticut,279653,73730
Delaware,71611,72857
California,2893054,72786
Maryland,417776,65527
North Dakota,49881,65484
New Jersey,574018,64232
Illinois,807383,63571
Colorado,376994,62442
Alaska,45644,62185
Nebraska,119692,61299
Minnesota,374920,61051
Virginia,519912,60271
Hawaii,98536,59056
Wyoming,33233,58609
New Hampshire,78691,57386
Pennsylvania,723830,56487
South Dakota,50951,56422
Iowa,179037,56303
Texas,1628185,55976
Utah,182895,55724
Kansas,161464,55479
Oregon,233799,54358
Georgia,580732,54091
Wisconsin,342470,53663
Ohio,626275,53442
Rhode Island,56285,53292
North Carolina,546776,51524
Nevada,156421,49820
Indiana,371629,49520
Missouri,323287,48487
Tennessee,373663,48305
Louisiana,224129,48249
Vermont,30175,48044
Arizona,355311,47454
Florida,1026676,47429
Michigan,475494,47336
Maine,61496,45695
New Mexico,93367,44531
Montana,47721,43911
Oklahoma,173061,43759
South Carolina,224689,43125
Kentucky,193878,43086
Alabama,209852,42751
Idaho,77384,42375
Arkansas,120812,39753
West Virginia,68001,38244
Mississippi,105681,35353
